type,latitude,longitude,streetName,streetNumber,slots,current_time,in_use
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 19:56:17,1
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 19:56:17,5
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 19:56:17,2
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 19:56:17,10
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 19:56:17,3
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 19:56:17,11
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 19:56:17,3
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 19:56:17,8
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 19:56:17,3
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 19:56:17,15
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 19:56:17,1
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 19:56:22,10
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 19:56:22,17
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 19:56:22,5
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 19:56:22,4
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 19:56:22,4
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 19:56:22,6
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 19:56:22,7
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 19:56:22,4
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 19:56:22,12
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 19:56:22,11
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 19:56:22,24
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 19:56:22,1
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 19:56:22,15
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 19:56:22,4
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 19:56:22,7
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 19:56:22,8
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 19:56:22,23
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 19:56:22,5
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 19:56:22,12
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 19:56:22,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 19:57:13,3
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 19:57:13,17
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 19:57:13,12
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 19:57:13,0
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 19:57:13,5
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 19:57:13,1
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 19:57:13,22
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 19:57:13,7
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 19:57:13,10
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 19:57:13,3
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 19:57:13,5
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 19:57:13,0
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 19:57:13,5
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 19:57:13,5
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 19:57:13,5
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 19:57:13,15
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 19:57:13,18
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 19:57:13,8
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 19:57:13,3
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 19:57:13,0
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 19:57:19,11
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 19:57:19,4
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 19:57:19,18
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 19:57:19,5
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 19:57:19,9
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 19:57:19,31
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 19:57:19,19
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 19:57:19,18
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 19:57:19,23
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 19:57:19,19
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 19:57:19,13
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 19:57:19,0
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 19:57:19,5
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 19:57:19,4
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 19:57:19,20
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 19:57:19,4
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 19:57:19,6
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 19:57:19,25
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 19:57:19,2
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 19:57:19,0
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:06:19,9
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:06:19,19
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:06:19,26
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:06:19,15
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:06:19,12
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:06:19,25
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:06:19,1
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:06:19,16
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:06:19,10
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:06:19,19
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:06:19,11
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:06:19,1
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:06:19,26
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:06:19,5
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:06:19,7
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:06:19,7
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:06:19,13
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:06:19,25
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:06:19,2
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:06:19,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:21:06,5
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:21:06,7
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:21:06,24
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:21:06,18
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:21:06,0
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:21:06,33
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:21:06,22
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:21:06,20
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:21:06,26
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:21:06,14
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:21:06,28
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:21:06,2
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:21:06,25
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:21:06,15
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:21:06,2
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:21:06,16
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:21:06,16
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:21:06,6
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:21:06,17
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:21:06,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:22:06,10
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:22:06,16
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:22:06,4
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:22:06,1
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:22:06,3
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:22:06,14
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:22:06,14
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:22:06,6
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:22:06,9
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:22:06,18
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:22:06,18
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:22:06,0
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:22:06,24
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:22:06,1
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:22:06,12
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:22:06,16
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:22:06,20
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:22:06,4
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:22:06,7
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:22:06,0
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:26:06,17
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:26:06,21
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:26:06,18
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:26:06,8
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:26:06,20
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:26:06,25
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:26:06,14
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:26:06,7
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:26:06,10
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:26:06,16
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:26:06,21
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:26:06,2
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:26:06,14
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:26:06,11
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:26:06,16
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:26:06,8
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:26:06,7
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:26:06,5
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:26:06,9
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:26:06,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:27:07,23
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:27:07,17
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:27:07,17
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:27:07,10
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:27:07,8
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:27:07,28
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:27:07,11
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:27:07,25
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:27:07,14
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:27:07,9
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:27:07,28
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:27:07,1
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:27:07,26
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:27:07,7
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:27:07,15
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:27:07,12
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:27:07,23
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:27:07,16
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:27:07,1
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:27:07,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:29:47,16
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:29:47,19
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:29:47,1
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:29:47,2
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:29:47,25
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:29:47,34
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:29:47,17
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:29:47,21
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:29:47,26
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:29:47,14
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:29:47,15
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:29:47,2
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:29:47,16
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:29:47,8
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:29:47,2
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:29:47,1
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:29:47,13
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:29:47,16
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:29:47,10
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:29:47,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:29:52,21
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:29:52,0
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:29:52,15
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:29:52,6
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:29:52,9
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:29:52,21
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:29:52,0
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:29:52,17
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:29:52,16
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:29:52,2
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:29:52,9
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:29:52,1
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:29:52,4
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:29:52,7
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:29:52,8
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:29:52,20
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:29:52,15
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:29:52,13
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:29:52,18
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:29:52,1
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:29:57,10
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:29:57,22
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:29:57,2
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:29:57,6
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:29:57,7
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:29:57,5
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:29:57,22
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:29:57,17
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:29:57,5
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:29:57,17
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:29:57,10
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:29:57,0
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:29:57,9
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:29:57,2
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:29:57,4
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:29:57,0
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:29:57,2
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:29:57,7
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:29:57,12
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:29:57,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:30:49,29
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:30:49,3
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:30:49,17
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:30:49,16
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:30:49,20
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:30:49,15
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:30:49,14
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:30:49,15
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:30:49,21
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:30:49,20
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:30:49,3
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:30:49,0
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:30:49,12
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:30:49,2
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:30:49,19
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:30:49,0
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:30:49,24
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:30:49,12
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:30:49,14
BIKE,41.4109,2.174,Sant Antoni Maria Claret,214,2,2026-03-12 20:30:49,2
BIKE,41.398,2.18,Gran Via Corts Catalanes,760,29,2026-03-12 20:30:54,7
BIKE,41.3955,2.1771,Roger de Flor/ Gran Vía,126,27,2026-03-12 20:30:54,8
BIKE,41.3941,2.1813,Nàpols,82,27,2026-03-12 20:30:54,8
BIKE,41.3935,2.1816,Ribes,13,20,2026-03-12 20:30:54,12
BIKE,41.3911,2.1802,Pg Lluís Companys,11,39,2026-03-12 20:30:54,31
BIKE,41.3913,2.1806,Pg Lluís Companys,18,39,2026-03-12 20:30:54,34
BIKE,41.3889,2.1833,Pg Lluís Companys,1,23,2026-03-12 20:30:54,1
BIKE,41.3891,2.1836,Pg Lluís Companys,2,26,2026-03-12 20:30:54,8
BIKE,41.3845,2.1849,Marquès de l'Argentera,13,26,2026-03-12 20:30:54,23
BIKE,41.3817,2.1939,Passeig Marítim,19,21,2026-03-12 20:30:54,11
BIKE,41.3845,2.1957,Pg Marítim Barceloneta,23,29,2026-03-12 20:30:54,15
BIKE,41.3869,2.1958,Avinguda Litoral,16,3,2026-03-12 20:30:54,2
BIKE,41.3847,2.185,Avinguda del Marques Argentera,15,26,2026-03-12 20:30:54,14
BIKE,41.3948,2.1712,Girona,68,18,2026-03-12 20:30:54,16
BIKE,41.3983,2.1867,Av. Meridiana,47,21,2026-03-12 20:30:54,6
BIKE,41.3982,2.1867,Av. Meridiana,47,21,2026-03-12 20:30:54,8
BIKE,41.4061,2.1742,Rosselló,453,26,2026-03-12 20:30:54,18
BIKE,41.4033,2.1707,Rosselló,354,28,2026-03-12 20:30:54,5
BIKE,41.4102,2.1758,Cartagena,308,20,2026-03-12 20:30:54,18
